JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450160.5,11.5,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2450170.30,11.1,,,Vis.,MPR,,,,,,,,V,,,,RU AND,,STD,,,,
2450180.5,12.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450187.5,12.5,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450242.5,12.9,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450278.6,11.9,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450280.7,11.3,,,Vis.,ROG,,,,,,,,V,,,,RU AND,,STD,,,,
2450283.5,11.9,,,Vis.,FRF,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450283.5,12.0,,,Vis.,KIL,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450287.5,11.4,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450301.4,11.3,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450310.6,11.3,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450312.0,10.9,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450315.5,10.8,,,Vis.,KIL,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450318.5,11.3,,,Vis.,FRF,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450321.5,11.5,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450321.5,11.3,,,Vis.,FRF,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450331.4,11.2,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450332.9000,10.9,,,Vis.,SQN,,,,,,,,V,,,,RU AND,,STD,,,,
2450333.44,11.5,,,Vis.,LTO,,,,,,,,V,,,,RU AND,,STD,,,,
2450334.4,11.2,,,Vis.,SCZ,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2450336.9049,11.0,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2450341.7,10.9,,,Vis.,BTB,,,,,,,,V,,,,RU AND,,STD,,,,
2450342.4,11.6,,,Vis.,MGE,,,,,,,,V,,,,RU AND,,STD,,,,
2450343.0,10.9,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450343.5,11.4,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450344.3,11.5,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450347.9,11.5,,,Vis.,MDW,,,,,,,,V,,,,RU AND,,STD,,,,
