JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449335.31,11.2,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449341.6,11.5,,,Vis.,MKJ,,,,,,,,V,,,,RU AND,,STD,,,,
2449356.2,11.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449356.3,11.0,,,N/A,SUZ,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449358.3,11.6,,,Vis.,POX,,,,,,,,V,,,,RU AND,,STD,,,,
2449363.5,11.3,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449365.2,11.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449365.3,11.2,,,N/A,SUZ,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449370.3,11.8,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449372.2,11.7,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449381.27,11.1,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449383.4,11.2,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449387.5,11.3,,,Vis.,MLI,,,,,,,,V,,,,RU AND,,STD,,,,
2449388.4,10.9,,,Vis.,MDI,,,,,,,,V,,,,RU AND,,STD,,,,
2449390.25,10.9,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449393.3,11.0,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449398.2,10.9,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449401.5,10.9,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449403.28,10.9,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449403.5687,10.7,,,Vis.,MKJ,,,,,,,,V,,,,RU AND,,STD,,,,
2449411.2,10.8,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449412.5,11.0,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2449415.29,11.0,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2449417.2,10.9,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449420.2,11.0,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449422.3,11.2,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449424.2,11.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449443.3,12.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449446.2,12.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449505.4,12.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449511.5,12.6,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449517.5,12.6,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449521.5,12.6,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449536.5,12.5,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449541.5,12.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449545.5,12.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449548.5,12.1,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449550.8799,11.4,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2449562.3,11.7,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449565.3,11.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449571.8,11.3,,,Vis.,MDW,,,,,,,,V,,,,RU AND,,STD,,,,
2449573.3,11.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449573.5,11.8,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449574.5,10.8,,,Vis.,SPQ,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449580.4,11.3,,,Vis.,TIA,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449580.8,10.9,,,Vis.,SCE,,,,,,,,V,,,,RU AND,,STD,,,,
2449581.3,10.8,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449584.6,11.2,,,Vis.,HJO,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449588.9625,11.0,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2449591.9313,10.9,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2449592.3,10.9,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449595.3,11.0,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449597.3,11.1,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449598.5,10.9,,,Vis.,POX,,,,,,,,V,,,,RU AND,,STD,,,,
